대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
서울특별시 송파구 마천동 85-13번지,11710,11400,0,0085,0013,1025115463,1,일반,2,일반건축물,서울특별시 송파구 마천로43길 29 (마천동),,,,,0,117104169103,11401,0,29,0,,0,주건축물,0,0,0,178.3,0,0,11,벽돌구조,연와조,01000,단독주택,단독주택,10,(철근)콘크리트,평스라브,0,1,0,2,1,0,0,0,0,178.3,0,0,0,0,0,0,0,0,19860818,        ,19861210,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 85-15번지,11710,11400,0,0085,0015,1025122073,1,일반,2,일반건축물,서울특별시 송파구 마천로51가길 43 (마천동),,,,,0,117104169111,11401,0,43,,,0,주건축물,0,0,0,499.39,0,0,21,철근콘크리트구조,"철근콘크리트조,",03000,제1종근린생활시설,"근린생활시설,",10,(철근)콘크리트,평스라브,0,1,0,3,1,0,0,0,0,499.39,0,0,0,0,0,0,1,0,19880415,,19881128,,,,,,0,,0,0,,0,,0,20260423,0,
서울특별시 송파구 마천동 85-16번지,11710,11400,0,0085,0016,102519391,1,일반,2,일반건축물,서울특별시 송파구 거마로24길 17-13 (마천동),,,,,0,117104169043,11401,0,17,13,,0,주건축물,0,0,0,195.12,0,0,11,벽돌구조,연와조,01000,단독주택,단독주택,10,(철근)콘크리트,경사스라브위기와,0,1,0,2,1,0,0,0,0,195.12,0,0,0,0,0,0,0,0,19880310,        ,19880708,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 85-17번지,11710,11400,0,0085,0017,102515018,1,일반,2,일반건축물,서울특별시 송파구 거마로24길 17-11 (마천동),,,,,0,117104169043,11401,0,17,11,,0,주건축물,150,74.74,49.82,214.22,139.48,101.93,11,벽돌구조,연와조,01000,단독주택,단독주택,10,(철근)콘크리트,스라브주위기와,0,1,7.8,2,1,0,0,0,0,214.22,0,0,0,0,0,0,0,0,19850330,19850409,19860522,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 85-18번지,11710,11400,0,0085,0018,102516775,1,일반,2,일반건축물,서울특별시 송파구 거마로24길 17-9 (마천동),,,,,0,117104169043,11401,0,17,9,,0,주건축물,118.7,69.08,58.2,179.94,0,100.56,11,벽돌구조,연와조,01000,단독주택,다가구주택(5가구),10,(철근)콘크리트,평스라브,0,5,7.5,2,1,0,0,0,0,179.94,0,0,0,0,0,0,1,11.5,19940129,19940223,19940623,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 85-19번지,11710,11400,0,0085,0019,1025117537,1,일반,2,일반건축물,서울특별시 송파구 마천로43길 31 (마천동),,,,,0,117104169103,11401,0,31,0,,0,주건축물,0,0,0,272.85,0,0,11,벽돌구조,"철근콘크리트조,",01000,단독주택,"근린생활시설, 주택",10,(철근)콘크리트,평스라브,0,1,0,3,1,0,0,0,0,272.85,0,0,0,0,1,0,1,0,19870303,,19870625,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 87-3번지,11710,11400,0,0087,0003,1025118235,2,집합,3,표제부,서울특별시 송파구 마천로39길 32 (마천동),,,,,0,117104169100,11401,0,32,,,0,주건축물,0,0,0,1494.87,0,0,21,철근콘크리트구조,철근콘크리트조,02000,공동주택,연립주택,10,(철근)콘크리트,평스라브,19,0,0,4,1,0,0,0,0,1494.87,0,0,0,0,5,0,4,0,19910408,19911029,19911029,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 87-5번지,11710,11400,0,0087,0005,1025118786,1,일반,2,일반건축물,서울특별시 송파구 거마로24길 17-3 (마천동),,,,,0,117104169043,11401,0,17,3,,0,주건축물,175.2,0,0,247.95,0,0,11,벽돌구조,연와조,01000,단독주택,단독주택,10,(철근)콘크리트,스라브,0,1,0,2,1,0,0,0,0,247.95,0,0,0,0,0,0,0,0,19831228,        ,19840818,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 87-6번지,11710,11400,0,0087,0006,1025117145,2,집합,3,표제부,서울특별시 송파구 마천로51가길 48-4 (마천동),,,,,1,117104169111,11401,0,48,4,,0,주건축물,831,398.57,47.96,2019.61,1511.39,181.88,21,철근콘크리트구조,철근콘크리트조,02000,공동주택,연립주택,10,(철근)콘크리트,경사스라브위 아스팔트슁글,19,0,14.45,4,1,0,0,0,0,2019.61,0,0,0,0,5,199.92,4,46,19900613,19901229,19901229,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 87-9번지,11710,11400,0,0087,0009,1025125220,2,집합,3,표제부,서울특별시 송파구 마천로51가길 49 (마천동),,,,,0,117104169111,11401,0,49,,,0,주건축물,0,0,0,249.66,0,0,11,벽돌구조,연와조,02000,공동주택,다세대주택,10,(철근)콘크리트,경사스라브위기와,6,0,0,2,1,0,0,0,0,249.66,0,0,0,0,0,0,0,0,19860508,19870926,19870926,,,,,,0,,0,0,,0,,0,20220813,0,
